x	y	Sought Treatment	labels
-13.29113	-2.4542534	1	4
-0.7379011	18.96862	0	5
-4.764284	21.0634	1	5
1.0341246	-3.2124302	1	0
15.636596	17.005428	1	2
5.79699	-23.345045	0	3
6.2023706	-2.4034941	0	0
17.815987	23.376278	1	2
-14.410064	-1.2242265	1	4
3.0215874	-4.9083457	0	0
-3.3790967	-8.463684	0	3
1.7157202	-3.1240451	0	0
0.17508197	-4.6268454	0	0
-3.855377	1.1574047	0	0
-8.730959	9.706313	0	7
-3.0037963	19.118843	1	5
-3.1134562	12.221266	0	5
-4.02387	1.3106968	1	0
13.251193	11.003125	0	2
7.591235	17.325891	0	2
-3.3755941	10.259089	1	5
-11.559504	4.3405156	1	7
19.420994	-1.9191202	1	6
-9.596712	-30.175623	1	1
4.8921647	-16.708487	1	3
-16.882591	-26.804117	1	1
-12.497314	13.301312	0	7
11.474936	3.0478945	1	6
-6.463306	6.65383	1	7
-2.2732713	-7.526324	0	3
-11.822563	1.6957407	1	7
0.2816822	-15.154526	1	3
-20.834055	6.307636	0	7
-8.063344	14.22957	1	5
11.160528	20.43844	1	2
-6.7244096	6.761847	1	7
5.093697	-24.728989	0	3
13.804832	21.152903	1	2
-5.148982	18.021376	0	5
-14.615473	-12.011484	1	4
4.292447	-0.19514216	1	0
-3.7803051	23.862013	1	5
-20.74502	-6.7304068	1	4
-12.202977	4.6909385	1	7
-14.478228	0.040862918	1	4
-14.947607	4.8248625	1	7
10.60085	15.606141	0	2
-15.115665	-25.071838	0	1
1.3430526	8.990463	1	0
10.560615	7.3295665	1	6
15.716177	9.199196	1	6
11.379295	-4.2753167	1	6
-2.698044	-12.502051	1	3
-12.145665	7.14987	1	7
-10.253865	-24.352016	0	1
-4.863255	-0.34504426	1	0
-11.302811	-25.223707	1	1
16.11511	1.3218492	1	6
19.149057	1.0323259	0	6
0.16626868	7.6473765	1	0
12.531803	16.121862	1	2
5.244549	-24.433226	0	3
-19.094183	-0.6775823	1	4
13.697484	4.9160757	1	6
11.03556	-15.8721	0	3
-10.271494	9.14095	1	7
2.7041874	-11.695951	0	3
-10.683819	19.71924	1	5
-9.238115	5.2509675	1	7
0.8531396	-0.43739945	0	0
-5.12684	9.8805685	1	5
2.618107	-8.47472	0	3
0.7367476	22.316902	1	5
17.657122	-3.9947412	0	6
0.24562714	1.039723	1	0
-11.040357	11.983339	1	7
-9.248662	5.117716	1	7
20.25193	3.4556932	0	6
12.170385	21.911253	1	2
19.13471	10.803442	0	6
10.224075	-12.429816	0	3
0.8908619	-12.177716	1	3
2.2177193	-3.990619	0	0
-0.86225754	0.089838035	0	0
-14.843771	-23.94012	0	1
17.166481	11.432073	1	2
17.672905	12.892238	1	2
6.662465	-10.126714	1	3
4.832248	-4.814188	1	0
-0.58493483	10.474462	0	5
-12.595915	-19.06495	1	1
2.0146945	-16.051441	0	3
-8.506889	-22.943584	0	1
-11.205035	-10.091992	1	4
-10.500252	13.297673	1	7
-12.004423	-18.766973	1	1
-4.194382	-2.0354068	0	0
-23.073015	3.0837038	0	7
10.847117	16.774431	1	2
-15.3175955	12.9873705	1	7
-0.13700567	-4.478746	1	0
5.028139	-1.5499631	1	0
6.9669867	-9.446695	0	3
2.1922648	22.39823	1	5
0.9678777	2.9840198	1	0
7.890941	3.4023585	1	0
8.175063	-14.209613	1	3
-7.697692	-18.008575	1	1
-12.663574	-23.025522	1	1
7.08754	-16.415209	0	3
-5.5917954	5.812947	1	7
-9.598977	-24.413017	1	1
12.398604	-13.761464	1	3
16.935324	-0.9452255	1	6
11.171948	-15.64665	0	3
-16.347578	-24.309122	0	1
-1.7037523	-14.441574	1	3
10.91857	-2.152973	0	6
-9.021334	15.178615	1	5
7.785862	27.561022	1	2
-1.1385276	10.638399	1	5
-7.598681	5.2834697	1	7
4.228847	-12.425256	0	3
3.1869419	15.817598	0	5
7.5486956	1.6840187	1	0
9.396773	-13.3241415	0	3
-16.605806	-4.7094784	1	4
-14.49988	10.228033	1	7
-7.1434026	-14.577184	1	1
-10.396837	-6.7361393	1	4
-6.794396	0.552906	0	4
-8.618003	-20.175045	1	1
-4.6953444	11.155793	1	5
-10.99352	21.790653	0	5
13.002669	2.568269	1	6
11.14532	-2.551515	0	6
2.4507353	0.47996196	0	0
0.8340664	10.488668	0	5
-20.792763	-2.5098917	1	4
5.4471064	8.878611	0	0
20.89785	17.877985	0	2
-3.0338511	-7.0022454	0	3
-5.227197	-0.11306123	1	0
-0.7989574	-18.413866	0	3
