x	y	Sought Treatment	labels
-4.6284885	12.504001	0	6
3.9440358	9.451657	0	4
-3.648481	-31.8574	0	1
18.99002	-4.7506776	0	3
-9.014258	-1.2606658	0	2
-6.3526783	-9.622944	0	5
10.694314	14.515828	1	4
-4.8469424	21.84507	0	6
-9.658068	25.114878	1	6
-4.079205	-32.501442	0	1
-11.504222	-26.826204	0	1
0.40785435	29.302588	1	0
19.883142	1.4894074	1	3
-1.9291135	-10.861495	1	5
0.6099921	19.519552	1	0
-14.843862	19.090021	1	6
10.067842	-21.5699	1	7
-0.17346054	-7.9693685	0	5
4.319341	9.441722	1	4
19.746145	1.5345666	1	3
1.683914	-22.977972	0	1
-5.892468	-20.115047	1	1
-14.861752	19.205395	1	6
13.8192215	3.924658	0	3
-0.30832633	-21.124493	1	1
-6.1459775	11.626611	1	6
13.820768	3.9306056	1	3
-11.209102	-26.944674	0	1
0.56768745	19.956266	1	0
-5.9006114	-20.11824	0	1
-9.202757	1.9287014	1	2
-15.447975	18.515968	1	6
0.24941017	29.426645	1	0
-9.022091	4.618612	1	2
-4.8899784	21.879206	1	6
0.2788458	28.791807	1	0
-0.34044805	3.5671318	1	2
14.800871	-22.43335	0	7
